"estacion","N","Media","Mediana","Desv_Std","Min","Max","Q1","Q3","IQR","CV_pct","Asimetria","Curtosis"
"El Vínculo",114034,23.64,22,4.21,12.2,37,20.2,27.2,7,17.82,0.65,2.23
"Farallones",97397,16.62,15.7,3,7.2,26,14.4,18.4,4,18.06,0.91,3.13
"La Diana",134738,20.83,20,3.16,10,30,18.5,22.7,4.2,15.17,0.86,3
"La Independencia",119996,23.58,22.3,3.95,12,32.7,20.3,27.1,6.8,16.75,0.5,2
"Siloé",51504,23.56,23.1,3.27,16.2,34.9,20.9,25.7,4.8,13.87,0.57,2.61
"Universidad del Valle",71905,24.97,24.3,4.15,13.8,37.8,21.4,28.3,6.9,16.6,0.39,2.13
